tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
776,0.776,B,service,rudder_controller1_bus,rudder1,31,RequestService,rudder1#2,,SERVICE,,30,_valueCurrent=,-34.5,valueTarget=,-45.0,_speedCurrent=,1.4000000000000001,speedChange=DECELERATING,_isTerminating=false,isArrived=false
776,0.776,B,notify,rudder_bus1,rudder_controller1,31,RequestService,rudder_controller1#1,,SERVICE,
777,0.777,B,notify,rudder_controller1_bus,rudder1,32,RequestService,rudder1#2,,SERVICE,
777,0.777,B,service,rudder_controller1_bus,rudder1,32,RequestService,rudder1#2,,SERVICE,,31,_valueCurrent=,-35.9,valueTarget=,-45.0,_speedCurrent=,1.3,speedChange=DECELERATING,_isTerminating=false,isArrived=false
777,0.777,B,notify,rudder_bus1,rudder_controller1,32,RequestService,rudder_controller1#1,,SERVICE,
778,0.778,B,notify,rudder_controller1_bus,rudder1,33,RequestService,rudder1#2,,SERVICE,
778,0.778,B,service,rudder_controller1_bus,rudder1,33,RequestService,rudder1#2,,SERVICE,,32,_valueCurrent=,-37.199999999999996,valueTarget=,-45.0,_speedCurrent=,1.2,speedChange=DECELERATING,_isTerminating=false,isArrived=false
778,0.778,B,notify,rudder_bus1,rudder_controller1,33,RequestService,rudder_controller1#1,,SERVICE,
779,0.779,B,notify,rudder_controller1_bus,rudder1,34,RequestService,rudder1#2,,SERVICE,
779,0.779,B,service,rudder_controller1_bus,rudder1,34,RequestService,rudder1#2,,SERVICE,,33,_valueCurrent=,-38.4,valueTarget=,-45.0,_speedCurrent=,1.0999999999999999,speedChange=DECELERATING,_isTerminating=false,isArrived=false
779,0.779,B,notify,rudder_bus1,rudder_controller1,34,RequestService,rudder_controller1#1,,SERVICE,
780,0.780,B,notify,rudder_controller1_bus,rudder1,35,RequestService,rudder1#2,,SERVICE,
780,0.780,B,service,rudder_controller1_bus,rudder1,35,RequestService,rudder1#2,,SERVICE,,34,_valueCurrent=,-39.5,valueTarget=,-45.0,_speedCurrent=,0.9999999999999999,speedChange=DECELERATING,_isTerminating=false,isArrived=false
780,0.780,B,notify,rudder_bus1,rudder_controller1,35,RequestService,rudder_controller1#1,,SERVICE,
781,0.781,B,notify,rudder_controller1_bus,rudder1,36,RequestService,rudder1#2,,SERVICE,
781,0.781,B,service,rudder_controller1_bus,rudder1,36,RequestService,rudder1#2,,SERVICE,,35,_valueCurrent=,-40.5,valueTarget=,-45.0,_speedCurrent=,0.8999999999999999,speedChange=DECELERATING,_isTerminating=false,isArrived=false
781,0.781,B,notify,rudder_bus1,rudder_controller1,36,RequestService,rudder_controller1#1,,SERVICE,
782,0.782,B,notify,rudder_controller1_bus,rudder1,37,RequestService,rudder1#2,,SERVICE,
782,0.782,B,service,rudder_controller1_bus,rudder1,37,RequestService,rudder1#2,,SERVICE,,36,_valueCurrent=,-41.4,valueTarget=,-45.0,_speedCurrent=,0.7999999999999999,speedChange=DECELERATING,_isTerminating=false,isArrived=false
782,0.782,B,notify,rudder_bus1,rudder_controller1,37,RequestService,rudder_controller1#1,,SERVICE,
783,0.783,B,notify,rudder_controller1_bus,rudder1,38,RequestService,rudder1#2,,SERVICE,
783,0.783,B,service,rudder_controller1_bus,rudder1,38,RequestService,rudder1#2,,SERVICE,,37,_valueCurrent=,-42.199999999999996,valueTarget=,-45.0,_speedCurrent=,0.7,speedChange=DECELERATING,_isTerminating=false,isArrived=false
783,0.783,B,notify,rudder_bus1,rudder_controller1,38,RequestService,rudder_controller1#1,,SERVICE,
784,0.784,B,notify,rudder_controller1_bus,rudder1,39,RequestService,rudder1#2,,SERVICE,
784,0.784,B,service,rudder_controller1_bus,rudder1,39,RequestService,rudder1#2,,SERVICE,,38,_valueCurrent=,-42.9,valueTarget=,-45.0,_speedCurrent=,0.6,speedChange=DECELERATING,_isTerminating=false,isArrived=false
784,0.784,B,notify,rudder_bus1,rudder_controller1,39,RequestService,rudder_controller1#1,,SERVICE,
785,0.785,B,notify,rudder_controller1_bus,rudder1,40,RequestService,rudder1#2,,SERVICE,
785,0.785,B,service,rudder_controller1_bus,rudder1,40,RequestService,rudder1#2,,SERVICE,,39,_valueCurrent=,-43.5,valueTarget=,-45.0,_speedCurrent=,0.5,speedChange=DECELERATING,_isTerminating=false,isArrived=false
785,0.785,B,notify,rudder_bus1,rudder_controller1,40,RequestService,rudder_controller1#1,,SERVICE,
786,0.786,B,notify,rudder_controller1_bus,rudder1,41,RequestService,rudder1#2,,SERVICE,
786,0.786,B,service,rudder_controller1_bus,rudder1,41,RequestService,rudder1#2,,SERVICE,,40,_valueCurrent=,-44.0,valueTarget=,-45.0,_speedCurrent=,0.4,speedChange=DECELERATING,_isTerminating=false,isArrived=false
786,0.786,B,notify,rudder_bus1,rudder_controller1,41,RequestService,rudder_controller1#1,,SERVICE,
787,0.787,B,notify,rudder_controller1_bus,rudder1,42,RequestService,rudder1#2,,SERVICE,
787,0.787,B,service,rudder_controller1_bus,rudder1,42,RequestService,rudder1#2,,SERVICE,,41,_valueCurrent=,-44.4,valueTarget=,-45.0,_speedCurrent=,0.30000000000000004,speedChange=DECELERATING,_isTerminating=false,isArrived=false
787,0.787,B,notify,rudder_bus1,rudder_controller1,42,RequestService,rudder_controller1#1,,SERVICE,
788,0.788,B,notify,rudder_controller1_bus,rudder1,43,RequestService,rudder1#2,,SERVICE,
788,0.788,B,service,rudder_controller1_bus,rudder1,43,RequestService,rudder1#2,,SERVICE,,42,_valueCurrent=,-44.699999999999996,valueTarget=,-45.0,_speedCurrent=,0.20000000000000004,speedChange=DECELERATING,_isTerminating=false,isArrived=false
788,0.788,B,notify,rudder_bus1,rudder_controller1,43,RequestService,rudder_controller1#1,,SERVICE,
789,0.789,B,notify,rudder_controller1_bus,rudder1,44,RequestService,rudder1#2,,SERVICE,
789,0.789,B,service,rudder_controller1_bus,rudder1,44,RequestService,rudder1#2,,SERVICE,,43,_valueCurrent=,-44.9,valueTarget=,-45.0,_speedCurrent=,0.10000000000000003,speedChange=DECELERATING,_isTerminating=false,isArrived=false
789,0.789,B,notify,rudder_bus1,rudder_controller1,44,RequestService,rudder_controller1#1,,SERVICE,
790,0.790,C,submit,rudder_bus1,rudder_controller1,0,RequestService,rudder_controller1#3,,UNBOUND
790,0.790,B,notify,rudder_bus1,rudder_controller1,0,RequestService,rudder_controller1#3,,TERMINATE,
790,0.790,C,submit,rudder_controller1_bus,rudder1,0,RequestService,rudder1#4,,UNBOUND
790,0.790,B,notify,rudder_controller1_bus,rudder1,0,RequestService,rudder1#4,,TERMINATE,
790,0.790,D,respond,rudder_controller1_bus,rudder1,0,RequestService,rudder1#4,,,ACCEPTED_SERVICING
790,0.790,D,respond,rudder_bus1,rudder_controller1,0,RequestService,rudder_controller1#3,,,ACCEPTED_SERVICING
790,0.790,B,notify,rudder_controller1_bus,rudder1,45,RequestService,rudder1#2,,SERVICE,
790,0.790,B,service,rudder_controller1_bus,rudder1,45,RequestService,rudder1#2,,SERVICE,,44,_valueCurrent=,-45.0,valueTarget=,-45.0,_speedCurrent=,0.1,speedChange=NONE,_isTerminating=true,isArrived=true
790,0.790,C,submit,rudder_controller1_bus,rudder1,0,RequestCancel,rudder1#5,rudder1#2,UNBOUND
790,0.790,B,notify,rudder_controller1_bus,rudder1,45,RequestService,rudder1#2,,CANCEL,
790,0.790,D,respond,rudder_controller1_bus,rudder1,0,RequestCancel,rudder1#5,rudder1#2,,ACCEPTED_SERVICING
790,0.790,B,notify,rudder_bus1,rudder_controller1,45,RequestService,rudder_controller1#1,,SERVICE,
791,0.791,B,notify,rudder_controller1_bus,rudder1,1,RequestService,rudder1#4,,SERVICE,
791,0.791,B,service,rudder_controller1_bus,rudder1,1,RequestService,rudder1#4,,SERVICE,,45,_valueCurrent=,-44.9,valueTarget=,45.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
791,0.791,B,notify,rudder_bus1,rudder_controller1,46,RequestService,rudder_controller1#1,,SERVICE,
792,0.792,B,notify,rudder_controller1_bus,rudder1,2,RequestService,rudder1#4,,SERVICE,
792,0.792,B,service,rudder_controller1_bus,rudder1,2,RequestService,rudder1#4,,SERVICE,,46,_valueCurrent=,-44.699999999999996,valueTarget=,45.0,_speedCurrent=,0.30000000000000004,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
792,0.792,B,notify,rudder_bus1,rudder_controller1,47,RequestService,rudder_controller1#1,,SERVICE,
793,0.793,B,notify,rudder_controller1_bus,rudder1,3,RequestService,rudder1#4,,SERVICE,
793,0.793,B,service,rudder_controller1_bus,rudder1,3,RequestService,rudder1#4,,SERVICE,,47,_valueCurrent=,-44.4,valueTarget=,45.0,_speedCurrent=,0.4,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
793,0.793,B,notify,rudder_bus1,rudder_controller1,48,RequestService,rudder_controller1#1,,SERVICE,
794,0.794,B,notify,rudder_controller1_bus,rudder1,4,RequestService,rudder1#4,,SERVICE,
794,0.794,B,service,rudder_controller1_bus,rudder1,4,RequestService,rudder1#4,,SERVICE,,48,_valueCurrent=,-44.0,valueTarget=,45.0,_speedCurrent=,0.5,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
794,0.794,B,notify,rudder_bus1,rudder_controller1,49,RequestService,rudder_controller1#1,,SERVICE,
795,0.795,B,notify,rudder_controller1_bus,rudder1,5,RequestService,rudder1#4,,SERVICE,
795,0.795,B,service,rudder_controller1_bus,rudder1,5,RequestService,rudder1#4,,SERVICE,,49,_valueCurrent=,-43.5,valueTarget=,45.0,_speedCurrent=,0.6,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
795,0.795,B,notify,rudder_bus1,rudder_controller1,50,RequestService,rudder_controller1#1,,SERVICE,
796,0.796,B,notify,rudder_controller1_bus,rudder1,6,RequestService,rudder1#4,,SERVICE,
796,0.796,B,service,rudder_controller1_bus,rudder1,6,RequestService,rudder1#4,,SERVICE,,50,_valueCurrent=,-42.9,valueTarget=,45.0,_speedCurrent=,0.7,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
796,0.796,B,notify,rudder_bus1,rudder_controller1,51,RequestService,rudder_controller1#1,,SERVICE,
797,0.797,B,notify,rudder_controller1_bus,rudder1,7,RequestService,rudder1#4,,SERVICE,
